Package_name,Reviewer_name,Review,Rating
Norton Genie,Derek M,flagged text norton fake screen shot legit copy pasted recognize company could trust tried report customer report virtual assistant couldnt help told would thirty minute response starting lose faith norton,1
Norton Genie,reza abdol zadeh,good thanks,5
Norton Genie,Jay Copeland,useful tool,4
Norton Genie,Charles Evans,deep motivatingscenario,5
Norton Genie,Henry Bevil,excellent interface simple use fast result like application,5
Norton Genie,Basil Johnson,great,5
Norton Genie,Separate Path,program provides extra layer security needed determine authenticity received text message email still extra caution never extreme refers personal financial information used application several time since installed two week ago far work well,5
Norton Genie,Jean Middleton,thank jesus got message big help,5
Norton Genie,Sean Fitzgerald,hundred_pointsthumbs_up,5
Norton Genie,Karishma.P,useful,5
Norton Genie,christopher wolf,thorough,5
Norton Genie,Hiten Rajputt,hiten smiling_face,5
Norton Genie,Keith Bailey,pretty great think week two app seventy-five training dedicated thats incredible,5
Norton Genie,Gab,excellent,5
Norton Genie,Ilya Chernoguz,although ive gotten good knowing scam none scam etc tool helpful even little unsure want informed used use google try figure message email scam attempt phish hack wouldnt always get answer feel like helper work let know avoid cyber threat better safe sorry,5
Norton Genie,wStephanie Cleary,read message hear say norton genie best thing ever created service awesome exactly designed,5
Norton Genie,Sanoj Kumar,"sanoj two thousand , two hundred thirty-five",5
Norton Genie,Alyson Covington,cant help everything help,4
Norton Genie,Letekha Latikla,efficient,5
Norton Genie,Earnest Sledge,great app,5
Norton Genie,BNSF7084gh,love genie,5
Norton Genie,Akash Akash Kumar,akshay kumar,2
Norton Genie,Desmond Lewis,im enjoying right six minute use,4
Norton Genie,Randy Phillips,really good app,4
Norton Genie,Arman Khan,ok,5
Norton Genie,Dreamheart101,great concept though could use training catch repetitive scam quickly without additional question particularly discord scam steal account could also use training recognize gov site hirepay people bring scam screenshots various social medium improve recognition,3
Norton Genie,Goverment Mkg,bad good,4
Norton Genie,Gregg Greene,submissive loved,5
Norton Genie,Kailash Ramola RK,good service,2
Norton Genie,Khaja ghouse uddin ghouse,good apple good working important,5
Norton Genie,Ericsson Nicholls,get app help ive got security block scam etc plus app thanks,5
Norton Genie,Md Nisar,ak khan,5
Norton Genie,Lisa,get good one hundred good safe use scammer,5
Norton Genie,Mlindos Gumede,wow really work,5
Norton Genie,Mykel King,awesome,5
Norton Genie,Julie Vill,outstanding app wouldnt expect anything less quality superior brand nortons definitely recommend,5
Norton Genie,Susan Boyd,thing many add,2
Norton Genie,Craig Ingraham,app essential,4
Norton Genie,Terry Hall,far great app say,5
Norton Genie,Franco,dont anything apps,1
Norton Genie,AzharSultan Soomro,nice,5
Norton Genie,Diane Hankins,really like use doublecheck report im really tired scam job offer,5
Norton Genie,Samaru Chalan,samaru chlan,5
Norton Genie,Sharon Claybourn,good app,5
Norton Genie,Frances Mendez,tx answered upsidedown_face,3
Norton Genie,Randall Damm,making take dont use,1
Norton Genie,Md Naeem,broken_heartbroken_heartbroken_heartbroken_heartbroken_heartbroken_heartbroken_heartbroken_heart,5
Norton Genie,WINROSE WANGUI TV,best app ever,5
Norton Genie,Vasava piyuvasava,red_heartred_heart,4
Norton Genie,GUILLERMO QUEZADA,app new need custom,5
Norton Genie,Siya Chapman,true thing working,5
Norton Genie,Sushant Hegade,good,5
Norton Genie,Daren Butcher,havent tried yet,4
Norton Genie,Andrea F.,absolutely love app,5
Norton Genie,Wiley Jantzen,nøt līkē møst spade_suit,5
Norton Genie,Darlene Moody,far im impressed smiling_face_with_smiling_eyes thanks,5
Norton Genie,Debra Hennig,really helped scammed several promotion like cookware advertised several star,5
Norton Genie,akash Balakar,hi bb smiling_face_with_open_hands babbu v,5
Norton Genie,Bonni English,ok,3
Norton Genie,ClaudiaA Rozonvegahurtado,norton genie good,4
Norton Genie,Lee,work,5
Norton Genie,Vipin bodh Sandeep,wasnt good performance,5
Norton Genie,Sherry Hanawalt,wonderful app,5
Norton Genie,Gursewak singh Singh,new update,5
Norton Genie,Margaret Johnston,helpful id recommend anyone wanting peace mind,5
Norton Genie,Rachael Mabiawose,good time,1
Norton Genie,Manish Nishad,hay screen lock tha phone,5
Norton Genie,Karishan,order,5
Norton Genie,Mirza Moyen,love hehe payed,5
Norton Genie,Paul Kingston,far good,4
Norton Genie,Rahul Saa,rahul saa seven,5
Norton Genie,Maria George,want cast someone else,5
Norton Genie,LaneyBaby Potts,love norton scam officer although id like could talk rl topic give advice like meta bot like dear abby laneybabys,5
Norton Genie,Ronald Mitchell,great app,5
Norton Genie,Taher Raza,ok,1
Norton Genie,SAMMILIA LINDA KORKOR COFIE-BRUCE,accurate efficient,5
Norton Genie,Frankie Filoreto,picture text,5
Norton Genie,Debra Nichols,scam going nowadays im happy norton genie keep safe,5
Norton Genie,Bruce Lee Dragon of jade The warrior swordsman,good app seems dodgy,5
Norton Genie,ISHAN SARKAR,red_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heart,5
Norton Genie,Bryan Orr,nice,5
Norton Genie,Michael,great app,5
Norton Genie,Allentown watkins,like last time scanned facebook time,5
Norton Genie,Satpal Singh,santosh bagiyal,1
Norton Genie,Jyoti Devi,supar,5
Norton Genie,K A GILKEY,far look good,5
Norton Genie,chinnarigari sairaja,gold infrom,5
Norton Genie,Dhanyadeb Roy,faltu app,1
Norton Genie,Aj Maynard,good app,4
Norton Genie,Hoa Khuu,far good,5
Norton Genie,Wendell Isaac,pretty good time ive used,5
Norton Genie,Marie Matthews,ive scammed past give piece mind,5
Norton Genie,Suraj Gajbhiye,शर ओपन द लक शर ओपन द लक,5
Norton Genie,Kunwar Singh Rawat,nice secured app work told install work every app,5
Norton Genie,M.d. mhatab alam,mast ha,5
Norton Genie,Pamela Tilya,good,5
Norton Genie,Makka Raju,thumbs_upok_handok_handok_hand,4
Norton Genie,Monet McIntyre,im truly quite impressed app tbh grinning_face beaming_face_with_smiling_eyes smiling_face_with_open_hands much appreciate enjoying respectfully polite ai interaction wrapped_gift already love app much red_heart,5
Norton Genie,Paulette Buche,never saw wasnt machine,1
Norton Genie,Mary Anne Hendrickx,tell someone higher offer usa service man calling,2
Norton Genie,Lernard Sumes,thanks everything,5
Norton Genie,Dennis Jones,ok,5
Norton Genie,Ken Stallan,work good would recommend use web safety find lot scamers,5
Norton Genie,Stephen Doughtie,app download exactly state description keep also turn people gut tell trust someone began talking take screenshot share norton geniehe pour suspicious message scam filter parameter follow doeshe ask question tell filter indicated warn scam genie know tactic scam procedure,5
Norton Genie,Ryan Antolo,mine number rest life,5
Norton Genie,Bruce M,app really helpful think im pretty good spotting scam spam intuition seems agreeing norton genie two thought likely genuine genie said block report closer inspection spotted fault ad email txt message great big five star,5
Norton Genie,Sangamesh ss vaggar Ss sangamesh,s love,4
Norton Genie,William Tennal,excellent resource help protect oneself,5
Norton Genie,Kevin Cleary,pretty good,5
Norton Genie,Sohan Panwar,red_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heartred_heartanatomical_heart,5
Norton Genie,AJiJUL Howue,touch finger,4
Norton Genie,Rxninja,far pretty cool well see week two thats usually start cool,4
Norton Genie,Me Scott,scam,1
Norton Genie,Georgia Waston,love much sweetheart smiling_face_with_heartsface_blowing_a_kissface_blowing_a_kissface_blowing_a_kissblue_heartred_heartblue_heartblue_heartblue_heartblack_hearthundred_pointsblue_heartanchor,5
Norton Genie,Barbara Horner,unwanted apps installed without permission please stop,1
Norton Genie,Mrbeir Mrbeir,sort helpful dont know work,5
Norton Genie,Jeffrey Brady,got hacked using service guess money got pointless pay didnt work maybe guy look asked app collaboration feature would collaborate something tell app need looked hard dont want money back,1
Norton Genie,Lynn Smith,super cool spot,5
Norton Genie,kerry vernholm,wish read batter,3
Norton Genie,timothy pedder,always good app let know email scam second,5
Norton Genie,jeff walton,good quick thumbs_up,5
Norton Genie,Nathleen Wilson,nothing help almost like ascam,1
Norton Genie,Lightsttn1 A,installed app tried get scam scan device see file apps exhibit anything would trigger scan notifican app scan element sample scan shouldve gone deeper dont think anything either thanks listening endofline thanks sincerely prospective costomer got message response came read nothing still change,1
Norton Genie,John,fast efficient grateful help thats sure would recommend app family friend future past norton,4
Norton Genie,Joy Dinkins,re baby ⁸yiro bye ur vizadred edades bay wayhiajiwahtschi78,5
Norton Genie,Jason,hope app help catch local bicker hacker hurting life really bad live huachuca city arizona,5
Norton Genie,Athena Lee,accurate information scam give peace mind recommend norton genie family friend every person free use easy use,5
Norton Genie,Zaid,zaid milke,5
Norton Genie,Ranjna Tudu,workenj please,5
Norton Genie,Bhavesh Prajapati,mast h aap sab bhi download kre,5
Norton Genie,Samantha Clitchworth,amazing app recommend friend family download,5
Norton Genie,Tom Tom,seeyouindreams,1
Norton Genie,Tenniele jayde Hay,thanks app good,5
Norton Genie,Charlene Peden,dont know,5
Norton Genie,Dimple Sahota,good,5
Norton Genie,Divanshu Vaishnav,op bro,5
Norton Genie,chan chan,good,5
Norton Genie,David Eisenhower,operational machine intelligence,5
Norton Genie,Frank Birchall,intermittent say later time timer_clock whenever happens norton mcafee two bestselling security system available,5
Norton Genie,Kristy Pascoe,great app hand especially may scamphishing savvy,5
Norton Genie,Marie L.Ross,great spamming,5
Norton Genie,gaynel diamond,love norton genie would bind without thank norton genie perfect smiling_face_with_hearts,5
Norton Genie,Eric Tarleton,cool feature,5
Norton Genie,Kim Giles,absolutely brilliant send thing like email txt msg etc see safe open nine x ten scam,5
Norton Genie,Royal Krishna Krishna,hey siri lock phone,1
Norton Genie,Stephen,site today two different people wanted much information gut telling run away took screenshot shared genie five set scammer check informed used method tactic consistent fraud scam immediately blocked reported experienced thank norton genie,5
Norton Genie,EXTRA USES,nice app checking website,5
Norton Genie,Tammy,save making bad decision,5
Norton Genie,Lawrence ryan,norton genie good job identifying scammy text message would incredibly helpful year ago victim identity theft wish app ai feature provided recommendation next step identifying scam overall useful tool could even better additional feature,4
Norton Genie,Tammy jesseph,great thumbs_up,5
Norton Genie,Rebecca Riley,tell friend product wonderful,5
Norton Genie,john Mullaney,already warned site seems dodgy,5
Norton Genie,Noah Godfrey,awesome app really helpful,5
Norton Genie,Vikash Chachura,hey siri phone lock,5
Norton Genie,Steve,keep guard scamming hacker,5
Norton Genie,Edward McCauley,great readthanks,5
Norton Genie,Janan Dean,"doesnt thing fact norton three hundred sixty bought five thousand , four hundred ninety-nine several device screwed phone cant even get use phone line call anyone call norton help left nasty review contacted support yet brick instead phone maybe ill get someone need phone pay rent beginning october thanks lot norton going dispute charge get",2
Norton Genie,Easwar Rao,suprb app,5
Norton Genie,Ghrinr Bdeixjdi,ok,5
Norton Genie,Nathan Rittenhouse,incorrectly identified real text credit card scam right charge fake text better others bias towards scam,4
Norton Genie,Aaron Robles,god bless,5
Norton Genie,Broot Broot,super,5
Norton Genie,Rebecca Bury,rebecca l bury please beware scam hacker really suspicious scary happened especially dating site target innocent people rebecca l bury thats serious ok fine yellow_heartbutterflygrowing_heartrainbowfolded_handssmiling_face_with_halo,5
Norton Genie,Christopher Anderson (Andrew Birch Christopher),clipboard found strange sql command related searching email via microsoft outlook office365 specific unknown sender attribute encrypted still tried app genie didnt raise concern disagree fact something able even access clipboard concern app isnt aware thirty year sql hacking history wonder 400k example malware look like whats disregarded,1
Norton Genie,Shelli Nicholas,wow norton genie super awesome thing thought legit yet seemed real could ignore thank god found app cleared lot questionsconcerns weighing well much confidence shoulder longer carrying heavy burden scamming con b shoulder longer gut told scam yet still research scammer good good thank norton genie,5
Norton Genie,Daniel Farr,real,5
Norton Genie,Zach Benson,pretty sick check link screenshots thing like email may sketch,5
Norton Genie,Louise Anderson,bad,4
Norton Genie,Carson Nolt,used app several time help pick email scam geek squad paypal useful,5
Norton Genie,Jeet vaid,jeet vaid786,5
Norton Genie,Bill Kelly,kewl app saved scam virus far,5
Norton Genie,msrj robbinjoyce,communicated great commentsusa made ai compatable telnet colorado vsrify telecommunication thank genie,4
Norton Genie,Kristina Kim,google analytics account best regard apply kar rahe ho aaj best regard best colourful holi writing letter apply week writing apply letter well following ad listing busy best regard site writing express best regard happy beaming_face_with_smiling_eyes writing book colourful editing following link home network basic economics,3
Norton Genie,Henry Brown,love,5
Norton Genie,Dwyane Lymore,right money sure use product norton oftenthumbs_up,5
Norton Genie,Samsung,thank,1
Norton Genie,shawn kinsley,definitely worth,4
Norton Genie,joseph tabalina,amazing experience first timethis app help overcome scammersi recommend family friendsclapping_handsclapping_handsclapping_handsclapping_handsclapping_hands,5
Norton Genie,Rajeev Kumar,khesari lock phone,1
Norton Genie,Ruben De Jonghe (Chrome),ok,5
Norton Genie,Colin Tinnel,app helped numerous time helpful,5
Norton Genie,Ekbal Sk,hello siri,4
Norton Genie,Carol Cooper,far really great never thought find far awesome,5
Norton Genie,Gloria “GLOWORM”,helpful,5
Norton Genie,Jeffrey,ai learning capability ninety-nine accurate main focus keeping fully aware cybersecurity flaw look area becoming malware relient,5
Norton Genie,oguh chidinma,app doesnt work kept say sorry,1
Norton Genie,Sandy Blakeley,gkas thank,5
Norton Genie,Zodinpuia K.Zodinpuia,two thousand two labarotorylaboratory two,5
Norton Genie,Anubhab Dasgupta,great app still need adjustment,3
Norton Genie,Shelly English,helpful especially people dont always understand internet,5
Norton Genie,Nepal Singh,good,5
Norton Genie,Scott Lee,guarantee key keep record account linked dont honor call crumbly blackwell price make pay alabama,5
Norton Genie,Jivan Babu,rajawant ram,5
Norton Genie,Suraj Ravalkar,nice really working grinning_face,5
Norton Genie,Zaid Kurashi,phone calling,5
Norton Genie,Jiya Lal630,apne photo video chupaye kaise,5
Norton Genie,Deirdreia Cox,awesome,5
Norton Genie,D B,cool ive testing cool,5
Norton Genie,Mark Palmer,well seems working fine far,4
Norton Genie,Jay and Patty Carlton,amazingly helpful tool firemust app two thousand twenty-four,5
Norton Genie,Charlie,love assuredly,5
Norton Genie,JinniScience,seems helpful,3
Norton Genie,Michael Gunter,great tooling par norton,5
Norton Genie,Kitty cat Doyle,perfect,5
Norton Genie,Webmaster Netzero,free app right,4
Norton Genie,Hugh McKnight,thank genie,5
Norton Genie,Richard McFaul,installed dead set finding way fight people spam wreck phone provide rating blocker use need people together beat thank ai heard good thing app looking forward using,4
Norton Genie,Gordon Cooper,love,5
Norton Genie,Mohammed Aboucham,reasonable thank much appreciated,5
Norton Genie,Nasruddinking Nasruddinking,mere phone mein jo jo chij hai sab ho jaaye per bolane se,2
Norton Genie,Ronaldo Crisostomo,working right,1
Norton Genie,Daniel Chevalier,remove use,5
Norton Genie,Shaun Ryan,responsibility,4
Norton Genie,Rico Moorehead,ook,5
Norton Genie,Brian Lindsay,doesnt work still get many scam call ive seen reviewer saying didnt anything installed app work looked app asks paste text send photo example possible scamming dont see setting either doesnt work intuitive earn automatic one star review dont bother dev respond already failed dev,1
Norton Genie,Jothimani R,one check leaping leg warning comman man folded_hands,4
Norton Genie,Tony Jimenez Jr,great help new ai service helpful,4
Norton Genie,Starrella Wolfheart P,thank letting know scam,5
Norton Genie,Kim Saunders,used function yet,4
Norton Genie,Garvin R Thompson Sr,good app detecting scam spyware,5
Norton Genie,Michael,awesome app,5
Norton Genie,Gabriel Ace Empuesto,good thing used app dont feel comfortable website im going search ill rate five star really helpful,5
Norton Genie,John Koen,great service,5
Norton Genie,Sandeep negi Vipin,please something file,5
Norton Genie,Marilyn Boyd,like way find daddy issue find incorrect,4
Norton Genie,Juc Ruc,good reliable useful,5
Norton Genie,Donna McIntosh,example given text message text got today thank info,5
Norton Genie,Barry,right app broken tried scan multiple email ninety end didnt go expected word failed waste time flaky app,2
Norton Genie,Tarik Belowara,belo,5
Norton Genie,Ann Newton,installed,4
Norton Genie,Scp 207,yeah far found smashing scam mean smishing,5
Norton Genie,Nicodemus George,guess suitable app android user experience artificial intelligence whic provides good information certain time really goodfor give five star,5
Norton Genie,Rahul Bakoliya,best guide scam,5
Norton Genie,tamil Selvan,தமழ,5
Norton Genie,Laurie Laudham,best,5
Norton Genie,Arman Khan,armanjhojha rampur roorkee jila haridwar,5
Norton Genie,King Boy,sagsa skta,5
Norton Genie,Susan Ely,really work help see scam legit worth phone helpful,5
Norton Genie,Vishal Kumar,vishalkmana,3
Norton Genie,Mitchell Dixon,like money,5
Norton Genie,सचिन यादव,sachin yadav ji,5
Norton Genie,Michelle Harrison,look like check scam lol might fun,5
Norton Genie,David Burnette,helpful let know scammer would try pray people give five star thank looking hope yall take care,5
Norton Genie,Scott Sherwood,work pretty well time tell used scan text message unknown cell number,4
Norton Genie,Sibusiso Zuma,thanks guy love app,4
Norton Genie,Heath Thomas Lee,first love app love idea think right track however noticed already scammer learned put text part top picture lot photo bottom scan tool scan photo detects scam could possibly scan whole image someone could guide ensure scan entire image including weblinks text fix,5
Norton Genie,John Askea Sr,love,5
Norton Genie,Obarichuremi Amadi,started using app experience terrible cant recommend sleepy_face,1
Norton Genie,FRANCISCO JAVIER PEREZ,goog,5
Norton Genie,corey chinemere,helpful tool today world scam fraud ai bot,4
Norton Genie,Frank Parra,super helpful new app job right,5
Norton Genie,Reginald Curtis,power al adidas,5
Norton Genie,Valarie Evans,really love app get immediate relief contacting norton gene soon receive strange text get fast result comforting,5
Norton Genie,Ann Marie “Sassy”,love,5
Norton Genie,Judy Ann Morris Aguon,far norton genie helped identify scammer,5
Norton Genie,Naushad Sheikh,thank team norton,5
Norton Genie,Joseph Carroll,cantpay,1
Norton Genie,Dr.Maya Borde,helpful app,5
Norton Genie,Classic Mobile,kiran dalui,5
